1881-03-13	death	Убийство Александра II
1914-07-31	death	Убийство Жореса
1922-08-22	death	Гибель Майкла Коллинза
1934-12-01	death	Убийство Кирова
1940-08-21	death	Смерть Троцкого
1961-09-18	death	Гибель Хаммаршёльда
1965-02-21	death	Убийство Малкольма Икс
1968-06-06	death	Смерть Роберта Кеннеди
1975-03-25	death	Убийство короля Фейсала
1978-05-09	death	Убийство Альдо Моро
1979-08-27	death	Убийство Маунтбеттена
1981-10-06	death	Убийство Садата
1984-10-31	death	Убийство Индиры Ганди
1986-02-28	death	Убийство Улофа Пальме
1995-11-04	death	Убийство Ицхака Рабина
