# GWF 1.2 casename-старты >=1963, сматченные к WB-именам
Benin	Benin	1963
Congo-Brz	Congo, Rep.	1963
Dominican Rep	Dominican Republic	1963
Ecuador	Ecuador	1963
Guatemala	Guatemala	1963
Honduras	Honduras	1963
Iraq	Iraq	1963
Kenya	Kenya	1963
Syria	Syrian Arab Republic	1963
Togo	Togo	1963
Bolivia	Bolivia	1964
Brazil	Brazil	1964
Malawi	Malawi	1964
Tanzania	Tanzania	1964
Benin	Benin	1965
Gambia	Gambia, The	1965
Singapore	Singapore	1965
Argentina	Argentina	1966
Botswana	Botswana	1966
Burkina Faso	Burkina Faso	1966
Burundi	Burundi	1966
Cen African Rep	Central African Republic	1966
Dominican Rep	Dominican Republic	1966
Ghana	Ghana	1966
Guatemala	Guatemala	1966
Indonesia	Indonesia	1966
Nigeria	Nigeria	1966
Uganda	Uganda	1966
Benin	Benin	1967
Greece	Greece	1967
Sierra Leone	Sierra Leone	1967
Yemen	Yemen, Rep.	1967
Zambia	Zambia	1967
Congo-Brz	Congo, Rep.	1968
Iraq	Iraq	1968
Mali	Mali	1968
Panama	Panama	1968
Peru	Peru	1968
Sierra Leone	Sierra Leone	1968
Benin	Benin	1969
Bolivia	Bolivia	1969
Libya	Libya	1969
Sudan	Sudan	1969
Cambodia	Cambodia	1970
Ecuador	Ecuador	1970
Guatemala	Guatemala	1970
Lesotho	Lesotho	1970
Bangladesh	Bangladesh	1971
Bolivia	Bolivia	1971
Uganda	Uganda	1971
United Arab Emirates	United Arab Emirates	1971
Benin	Benin	1972
Ecuador	Ecuador	1972
Ghana	Ghana	1972
Honduras	Honduras	1972
Madagascar	Madagascar	1972
Philippines	Philippines	1972
Afghanistan	Afghanistan	1973
Chile	Chile	1973
Rwanda	Rwanda	1973
Uruguay	Uruguay	1973
Ethiopia	Ethiopia	1974
Niger	Niger	1974
Yemen	Yemen, Rep.	1974
Angola	Angola	1975
Bangladesh	Bangladesh	1975
Cambodia	Cambodia	1975
Chad	Chad	1975
Laos	Lao PDR	1975
Madagascar	Madagascar	1975
Mozambique	Mozambique	1975
Pakistan	Pakistan	1975
Argentina	Argentina	1976
Thailand	Thailand	1976
Pakistan	Pakistan	1977
Afghanistan	Afghanistan	1978
Mauritania	Mauritania	1978
Sri Lanka	Sri Lanka	1978
Yemen	Yemen, Rep.	1978
Cambodia	Cambodia	1979
Cen African Rep	Central African Republic	1979
Iran	Iran, Islamic Rep.	1979
Iraq	Iraq	1979
Nicaragua	Nicaragua	1979
Bolivia	Bolivia	1980
Burkina Faso	Burkina Faso	1980
Liberia	Liberia	1980
Turkey	Turkiye	1980
Uganda	Uganda	1980
Zimbabwe	Zimbabwe	1980
Cen African Rep	Central African Republic	1981
Ghana	Ghana	1981
Bangladesh	Bangladesh	1982
Burkina Faso	Burkina Faso	1982
Chad	Chad	1982
El Salvador	El Salvador	1982
Panama	Panama	1982
Cameroon	Cameroon	1983
Nigeria	Nigeria	1983
Guinea	Guinea	1984
Guatemala	Guatemala	1985
Sudan	Sudan	1985
Haiti	Haiti	1986
Lesotho	Lesotho	1986
Uganda	Uganda	1986
Burkina Faso	Burkina Faso	1987
Burundi	Burundi	1987
Haiti	Haiti	1988
Myanmar	Myanmar	1988
Sudan	Sudan	1989
Chad	Chad	1990
Namibia	Namibia	1990
Azerbaijan	Azerbaijan	1991
Belarus	Belarus	1991
Ethiopia	Ethiopia	1991
Georgia	Georgia	1991
Haiti	Haiti	1991
Kazakhstan	Kazakhstan	1991
Kyrgyzstan	Kyrgyz Republic	1991
Serbia	Serbia	1991
Tajikistan	Tajikistan	1991
Thailand	Thailand	1991
Turkmenistan	Turkmenistan	1991
Uzbekistan	Uzbekistan	1991
Algeria	Algeria	1992
Georgia	Georgia	1992
Peru	Peru	1992
Sierra Leone	Sierra Leone	1992
Azerbaijan	Azerbaijan	1993
Eritrea	Eritrea	1993
Nigeria	Nigeria	1993
Russia	Russian Federation	1993
Armenia	Armenia	1994
Belarus	Belarus	1994
Gambia	Gambia, The	1994
Rwanda	Rwanda	1994
Afghanistan	Afghanistan	1996
Burundi	Burundi	1996
Niger	Niger	1996
Zambia	Zambia	1996
Congo-Brz	Congo, Rep.	1997
Congo/Zaire	Congo, Dem. Rep.	1997
Liberia	Liberia	1997
Sierra Leone	Sierra Leone	1997
Armenia	Armenia	1998
Haiti	Haiti	1999
Ivory Coast	Cote d'Ivoire	1999
Pakistan	Pakistan	1999
Ivory Coast	Cote d'Ivoire	2000
Nepal	Nepal	2002
Cen African Rep	Central African Republic	2003
Kyrgyzstan	Kyrgyz Republic	2005
Mauritania	Mauritania	2005
Venezuela	Venezuela, RB	2005
Thailand	Thailand	2006
Bangladesh	Bangladesh	2007
Guinea	Guinea	2008
Mauritania	Mauritania	2008
Afghanistan	Afghanistan	2009
Madagascar	Madagascar	2009
