kw,center_axis,members,kind
1,U,O,voice
2,U,,source
3,D,AU,pair
4,L,SE,pair
5,D,DEO,triangle
6,E,ALO,triangle
7,U,SO,pair
8,A,OU,pair
9,D,D,voice
10,U,L,voice
11,L,DEU,triangle
12,A,ASL,line
13,U,S,voice
14,D,U,voice
15,U,LO,pair
16,A,DO,pair
17,L,SLE,triangle
18,S,ADU,line
19,,AS,pair
20,A,EU,pair
21,O,SLU,triangle
22,E,SDU,triangle
23,A,EO,pair
24,L,AO,pair
25,U,SLO,triangle
26,O,DOU,triangle
27,D,AE,pair
28,S,AEO,line
29,D,SU,pair
30,E,SOU,line
31,A,ASE,triangle
32,S,AEU,triangle
33,A,ASO,triangle
34,D,EOU,triangle
35,A,DE,pair
36,E,AL,pair
37,E,SDO,triangle
38,,LOU,triangle
39,,LU,pair
40,O,SD,pair
41,,DLU,triangle
42,D,SDL,triangle
43,L,E,voice
44,S,A,voice
45,A,DU,pair
46,U,SL,pair
47,L,ALE,triangle
48,S,ADE,triangle
49,E,SEO,triangle
50,S,AOU,triangle
51,O,AD,pair
52,,LE,pair
53,,ASD,triangle
54,,LEU,line
55,E,SEU,triangle
56,A,ASU,triangle
57,S,ADO,triangle
58,,LEO,triangle
59,D,ADL,triangle
60,,DLE,triangle
61,,DLO,line
62,A,DL,pair
63,,SDE,line
64,,ALU,triangle
