# P6a FROZEN 2026-07-27. Closed grammatical classes (standard grammars).
# Excluded as ambiguous: fr 'on' (impersonal); it 'ci' (locative). Elision rule frozen:
# tokenizer splits apostrophes; bare 'j'/'m' prefixes count as je/me (fr).
# Orthography kept with accents; no diacritic stripping anywhere in P6a.
lang	class	word
fr	i	je
fr	i	me
fr	i	moi
fr	i	mon
fr	i	ma
fr	i	mes
fr	we	nous
fr	we	notre
fr	we	nos
fr	deont	dois
fr	deont	doit
fr	deont	devons
fr	deont	devez
fr	deont	doivent
fr	deont	devais
fr	deont	devait
fr	deont	devions
fr	deont	deviez
fr	deont	devaient
fr	deont	devrai
fr	deont	devras
fr	deont	devra
fr	deont	devrons
fr	deont	devrez
fr	deont	devront
fr	deont	devrais
fr	deont	devrait
fr	deont	devrions
fr	deont	devriez
fr	deont	devraient
fr	deont	faut
fr	deont	fallait
fr	deont	faudra
fr	deont	faudrait
fr	deont	obligation
fr	deont	devoir
fr	deont	règle
fr	deont	ordre
fr	deont	discipline
fr	deont	rigueur
it	i	io
it	i	mi
it	i	me
it	i	mio
it	i	mia
it	i	miei
it	i	mie
it	we	noi
it	we	nostro
it	we	nostra
it	we	nostri
it	we	nostre
it	deont	devo
it	deont	devi
it	deont	deve
it	deont	dobbiamo
it	deont	dovete
it	deont	devono
it	deont	dovevo
it	deont	dovevi
it	deont	doveva
it	deont	dovevamo
it	deont	dovevate
it	deont	dovevano
it	deont	dovrò
it	deont	dovrai
it	deont	dovrà
it	deont	dovremo
it	deont	dovrete
it	deont	dovranno
it	deont	dovrei
it	deont	dovrebbe
it	deont	dovremmo
it	deont	dovreste
it	deont	dovrebbero
it	deont	dovuto
it	deont	bisogna
it	deont	bisognava
it	deont	obbligo
it	deont	regola
it	deont	ordine
it	deont	disciplina
it	deont	rigore
