status	ogid	source	ref	bytes	words	note
ok	goncourt-edmond-1822-05-26	pg	17238	545009	91537	
ok	goncourt-edmond-1822-05-26	pg	17420	484318	80324	
ok	goncourt-edmond-1822-05-26	pg	17505	455684	72865	
ok	goncourt-edmond-1822-05-26	pg	17746	467411	76109	
ok	goncourt-edmond-1822-05-26	pg	17947	416961	68597	
ok	goncourt-edmond-1822-05-26	pg	18055	645589	98062	
ok	daudet-ernest-1837-05-31	pg	30915	250523	42860	
ok	houssaye-arsene-1814-03-28	ws	Souvenirs de jeunesse (Houssaye)	50114	6849	
ok	houssaye-arsene-1814-03-28	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6507482t	50114	6849	
ok	houssaye-arsene-1814-03-28	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k87468	50114	6849	
ok	quinet-edgar-1803-02-17	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9816878m	50114	6849	
ok	gebhart-emile-1839-07-19	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k1068836	50114	6849	
fail	monselet-charles-1825-04-30	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k370995	0	0	unavailable
fail	flammarion-camille-1842-02-26	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k83470m	0	0	unavailable
ok	sarcey-francisque-1827-10-08	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6507585d	50114	6849	
ok	lorrain-jean-1855-08-09	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k82500g	50114	6849	
ok	monselet-charles-1825-04-30	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k57318952	50114	6849	
ok	descaves-lucien-1861-03-18	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3382280v	50114	6849	
ok	loisy-alfred-1857-02-28	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6555498f	50114	6849	
fail	souvestre-emile-1806-04-15	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k5812230n	0	0	unavailable
fail	sarcey-francisque-1827-10-08	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k62092287	0	0	unavailable
ok	nisard-desire-1806-03-20	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k54061806	50114	6849	
ok	fabre-emile-1869-03-24	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3359305k	50114	6849	
ok	claretie-jules-1840-12-03	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k405865m	50114	6849	
ok	nisard-desire-1806-03-20	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9675503q	50114	6849	
ok	claretie-jules-1840-12-03	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6464633h	50114	6849	
fail	riviere-jacques-1886-07-15	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9465424	0	0	unavailable
fail	simon-jules-1814-12-27	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k5439085p	0	0	unavailable
ok	veuillot-louis-1813-10-11	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k58202539	50114	6849	
ok	riviere-jacques-1886-07-15	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k8630316s	50114	6849	
ok	claretie-jules-1840-12-03	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k37211g	50114	6849	
ok	veuillot-louis-1813-10-11	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k392051	50114	6849	
ok	claretie-jules-1840-12-03	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6365959v	50114	6849	
fail	souvestre-emile-1806-04-15	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k58428361	0	0	unavailable
fail	carcopino-jerome-1881-06-27	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3357774k	0	0	unavailable
ok	siegfried-andre-1875-04-21	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3390170s	50114	6849	
ok	carcopino-jerome-1881-06-27	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k33574964	50114	6849	
ok	dekobra-maurice-1885-05-26	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3382855v	50114	6849	
ok	leautaud-paul-1872-01-18	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3370335g	50114	6849	
ok	ajalbert-jean-1863-06-10	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k4221142t	50114	6849	
fail	marmier-xavier-1808-06-22	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9814356p	0	0	unavailable
fail	marmier-xavier-1808-06-22	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k105465r	0	0	unavailable
ok	marmier-xavier-1808-06-22	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k1054664	50114	6849	
ok	marmier-xavier-1808-06-22	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9692198f	50114	6849	
ok	montegut-emile-1825-06-23	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k1022057	50114	6849	
