ogid	W	I_pos	I_neg	I_wei	I_deont	TTR
claretie-jules-1840-12-03	47484	53.765	39.129	-7.139	2.148	0.1780
daudet-ernest-1837-05-31	105100	57.022	32.636	-16.822	2.217	0.1754
goncourt-edmond-1822-05-26	462650	52.746	37.285	-20.988	1.390	0.1420
harcourt-robert-1881-11-23	102174	46.617	42.388	3.416	3.161	0.1436
houssaye-arsene-1814-03-28	148502	60.881	28.303	-26.464	2.020	0.1321
janin-jules-1804-02-16	68484	58.554	37.892	-10.674	2.205	0.1465
lorrain-jean-1855-08-09	65336	46.299	41.034	-19.897	0.964	0.1911
marmier-xavier-1808-06-22	227813	50.045	31.899	-4.798	3.125	0.1690
monselet-charles-1825-04-30	129141	55.559	33.096	-18.228	2.199	0.1775
montegut-emile-1825-06-23	126379	65.066	33.415	0.491	2.295	0.1393
nisard-desire-1806-03-20	252190	54.855	34.272	-19.243	2.034	0.1211
quinet-edgar-1803-02-17	74552	55.357	36.766	-53.707	2.562	0.1576
sarcey-francisque-1827-10-08	171628	50.813	37.675	-13.151	2.709	0.1489
simon-jules-1814-12-27	108304	53.165	41.476	1.597	3.195	0.1172
souvestre-emile-1806-04-15	209229	51.637	38.929	-32.782	2.686	0.1463
veuillot-louis-1813-10-11	234132	58.087	38.491	-3.946	2.605	0.1299
