ogid	fname	gname	year	occ	gqid	cy	pg_id	lang	title
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	14799	fr	Journal des Goncourt  (Premier Volume) Mémoires de la vie littéraire
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	14803	fr	Journal des Goncourt  (Deuxième volume) Mémoires de la vie littéraire
sainte-beuve-charles-1804-12-23	Sainte-Beuve	Charles	1804	writer	A6-717	FR	17044	fr	Mémoires du duc de Saint-Simon Siècle de Louis XIV, la régence, Louis XV
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	17123	fr	Journal des Goncourt (Troisième volume) Mémoires de la vie littéraire
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	17238	fr	Journal des Goncourt (Deuxième série, premier volume) Mémoires de la vie littéraire
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	17420	fr	Journal des Goncourt (Deuxième série, deuxième volume) Mémoires de la vie littéraire
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	17505	fr	Journal des Goncourt (Deuxième série, troisième volume) Mémoires de la vie littéraire
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	17746	fr	Journal des Goncourt (Troisième série, premier volume) Mémoires de la vie littéraire
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	17947	fr	Journal des Goncourt (Troisième série, deuxième volume) Mémoires de la vie littéraire
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	18055	fr	Journal des Goncourt (Troisième série, troisième volume) Mémoires de la vie littéraire
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	30915	fr	Mon frère et moi; souvenirs d'enfance et de jeunesse
alain-chartier-1868-03-03	Alain	(Chartier)	1868	writer	A6-10	FR	72071	fr	Souvenirs concernant Jules Lagneau
