# P6a final Gallica list (2026-07-27, manual P6a-3b pass; reasons in journal)
ogid	fname	gname	year	occ	gqid	cy	ark	title	creator	reason
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6507482t	Les confessions : souvenirs d'un demi-siècle, 1830-1880. Tome 3 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte	souvenirs d un demi-siecle, multi-vol autobiography
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k87468	Les confessions. Tome 1 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte	souvenirs d un demi-siecle, multi-vol autobiography
quinet-edgar-1803-02-17	Quinet	Edgar	1803	writer	A6-666	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9816878m	Oeuvres complètes d'Edgar Quinet ; 15. Histoire de mes idées : autobiographie / Edgar Quinet	Quinet, Edgar (1803-1875). Auteur du texte	explicit autobiography
gebhart-emile-1839-07-19	Gebhart	Emile	1839	writer	A6-357	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1068836	Petits mémoires / Émile Gebhart,...	Gebhart, Émile (1839-1908). Auteur du texte	first-person short memoirs
monselet-charles-1825-04-30	Monselet	Charles	1825	writer	A6-583	FR	https://gallica.bnf.fr/ark:/12148/bpt6k370995	Petits mémoires littéraires / Charles Monselet	Monselet, Charles (1825-1888). Auteur du texte	own literary memoirs
flammarion-camille-1842-02-26	Flammarion	Camille	1842	writer	A6-317	FR	https://gallica.bnf.fr/ark:/12148/bpt6k83470m	Mémoires biographiques et philosophiques d'un astronome / Camille Flammarion	Flammarion, Camille (1842-1925). Auteur du texte / Autrice du texte	genuine autobiography of astronomer
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6507585d	Souvenirs de jeunesse / Francisque Sarcey	Sarcey, Francisque (1827-1899). Auteur du texte	youth memoirs
lorrain-jean-1855-08-09	Lorrain	Jean	1855	novelist	A6-516	FR	https://gallica.bnf.fr/ark:/12148/bpt6k82500g	Sensations et souvenirs / Jean Lorrain	Lorrain, Jean (1855-1906). Auteur du texte	personal impressions volume
monselet-charles-1825-04-30	Monselet	Charles	1825	writer	A6-583	FR	https://gallica.bnf.fr/ark:/12148/bpt6k57318952	Mes souvenirs littéraires / par Charles Monselet	Monselet, Charles (1825-1888). Auteur du texte	own literary memoirs
descaves-lucien-1861-03-18	Descaves	Lucien	1861	novelist	A6-249	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3382280v	Souvenirs d'un ours / Lucien Descaves,...	Descaves, Lucien (1861-1949). Auteur du texte	first-person memoirs
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k215323r	Souvenirs de jeunesse : 1830-1850 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte	youth memoirs (same work as WS — text source WS)
loisy-alfred-1857-02-28	Loisy	Alfred	1857	writer	A6-515	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6555498f	Mémoires pour servir à l'histoire religieuse de notre temps. T. 2. 1900-1908 / Alfred Loisy	Loisy, Alfred (1857-1940). Auteur du texte	own religious-history memoirs
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5812230n	Souvenirs d'un Bas-Breton, par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte	first-person Breton memoirs
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	https://gallica.bnf.fr/ark:/12148/bpt6k62092287	Le siège de Paris : impressions et souvenirs / Francisque Sarcey	Sarcey, Francisque (1827-1899). Auteur du texte	own siege memoir
nisard-desire-1806-03-20	Nisard	Désiré	1806	writer	A6-599	FR	https://gallica.bnf.fr/ark:/12148/bpt6k54061806	Souvenirs et notes biographiques (juillet 1881) / par Désiré Nisard,...	Nisard, Désiré (1806-1888). Auteur du texte	souvenirs + autobiographical notes
fabre-emile-1869-03-24	Fabre	Emile	1869	writer	A6-301	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3359305k	De Thalie à Melpomène : souvenirs de théâtre / Émile Fabre	Fabre, Émile (1869-1955). Auteur du texte	own theatre memoirs
