ogid	fname	gname	year	occ	gqid	cy	ark	title	creator
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6507482t	Les confessions : souvenirs d'un demi-siècle, 1830-1880. Tome 3 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k241259c	Les confessions : souvenirs d'un demi-siècle 1830-1880 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k87468	Les confessions. Tome 1 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte
quinet-edgar-1803-02-17	Quinet	Edgar	1803	writer	A6-666	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9816878m	Oeuvres complètes d'Edgar Quinet ; 15. Histoire de mes idées : autobiographie / Edgar Quinet	Quinet, Edgar (1803-1875). Auteur du texte
bloy-leon-1846-07-11	Bloy	Léon	1846	novelist	A6-111	FR	https://gallica.bnf.fr/ark:/12148/bpt6k255557	Autobiographie d'une enfant / Bloy	Bloy, Léon (1846-1917). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k56854863	Confessions d'un ouvrier / par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58467254	Confessions d'un ouvrier, publiées par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k98181478	Confessions d'un ouvrier (Nouvelle édition) / publiées par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k2032453	Confessions d'un ouvrier (Nouv. éd.) / publ. par Emile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte
gebhart-emile-1839-07-19	Gebhart	Emile	1839	writer	A6-357	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1068836	Petits mémoires / Émile Gebhart,...	Gebhart, Émile (1839-1908). Auteur du texte
stapleaux-leopold-1831-10-16	Stapleaux	Leopold	1831	novelist	A6-1202	BE	https://gallica.bnf.fr/ark:/12148/bpt6k54257615	Mémoires secrets du Second empire	Stapleaux, Léopold (1831-1891). Auteur du texte
monselet-charles-1825-04-30	Monselet	Charles	1825	writer	A6-583	FR	https://gallica.bnf.fr/ark:/12148/bpt6k370995	Petits mémoires littéraires / Charles Monselet	Monselet, Charles (1825-1888). Auteur du texte
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5812738p	Les Mémoires du diable / Frédéric Soulié	Soulié, Frédéric (1800-1847). Auteur du texte
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	https://gallica.bnf.fr/ark:/12148/bpt6k66141h	Mémoires d'un mari. 1 / Eugène Sue	Sue, Eugène (1804-1857). Auteur du texte
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	https://gallica.bnf.fr/ark:/12148/bpt6k2070145	Les mémoires du Diable / par Frédéric Soulié	Soulié, Frédéric (1800-1847). Auteur du texte
bazin-rene-1853-12-26	Bazin	René	1853	novelist	A6-67	FR	https://gallica.bnf.fr/ark:/12148/bd6t54353087r	Mémoires d'une vieille fille / René Bazin,...	Bazin, René (1853-1932). Auteur du texte
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58139504	Le Droit chemin, confessions d'un ouvrier, publié par Émile Souvestre. Nouvelle édition illustrée par G. Fath	Souvestre, Émile (1806-1854). Auteur du texte
bernard-tristan-1866-09-07	Bernard	Tristan	1866	writer	A6-94	FR	https://gallica.bnf.fr/ark:/12148/bpt6k82677b	Mémoires d'un jeune homme rangé / Tristan Bernard	Bernard, Tristan (1866-1947). Auteur du texte
flammarion-camille-1842-02-26	Flammarion	Camille	1842	writer	A6-317	FR	https://gallica.bnf.fr/ark:/12148/bpt6k83470m	Mémoires biographiques et philosophiques d'un astronome / Camille Flammarion	Flammarion, Camille (1842-1925). Auteur du texte / Autrice du texte
simon-jules-1814-12-27	Simon	Jules	1814	writer	A6-745	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9681998m	Les derniers mémoires des autres / Jules Simon,... ; illustrations de Loewitz	Simon, Jules (1814-1896). Auteur du texte
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	https://gallica.bnf.fr/ark:/12148/bpt6k913090	Les mémoires d'un orphelin (2e édition) / par X. Marmier	Marmier, Xavier (1808-1892). Auteur du texte
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	https://gallica.bnf.fr/ark:/12148/bpt6k2026664	Journal des Goncourt : mémoires de la vie littéraire.... 1e vol.	Goncourt, Edmond de (1822-1896). Auteur du texte
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	https://gallica.bnf.fr/ark:/12148/bpt6k56229407	Mathilde : mémoires d'une jeune femme. Tome 1 / par Eugène Sue,...	Sue, Eugène (1804-1857). Auteur du texte
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5739432n	Les mémoires du diable. Edition 4,Volume 2 / par Frédéric Soulié	Soulié, Frédéric (1800-1847). Auteur du texte
ajalbert-jean-1863-06-10	Ajalbert	Jean	1863	novelist	A6-9	FR	https://gallica.bnf.fr/ark:/12148/bpt6k4221142t	Mémoires en vrac : au temps du symbolisme, 1880-1890 / Jean Ajalbert,...	Ajalbert, Jean (1863-1947). Auteur du texte
guillaumin-emile-1873-11-10	Guillaumin	Emile	1873	novelist	A6-394	FR	https://gallica.bnf.fr/ark:/12148/bd6t5413614k	La Vie d'un simple , mémoires d'un métayer. 2e édition	Guillaumin, Émile (1873-1951). Auteur du texte
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	https://gallica.bnf.fr/ark:/12148/bpt6k6507585d	Souvenirs de jeunesse / Francisque Sarcey	Sarcey, Francisque (1827-1899). Auteur du texte
lorrain-jean-1855-08-09	Lorrain	Jean	1855	novelist	A6-516	FR	https://gallica.bnf.fr/ark:/12148/bpt6k82500g	Sensations et souvenirs / Jean Lorrain	Lorrain, Jean (1855-1906). Auteur du texte
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5810511q	Oeuvres choisies de M. Eugène Süe. Fernand Duplessis, Mémoires d'un mari	Sue, Eugène (1804-1857). Auteur du texte
boissier-gaston-1823-08-15	Boissier	Gaston	1823	writer	A6-113	FR	https://gallica.bnf.fr/ark:/12148/bpt6k1091462f	De l'autorité des mémoires du duc de Saint-Simon / par G. Boissier	Boissier, Gaston (1823-1908). Auteur du texte
monselet-charles-1825-04-30	Monselet	Charles	1825	writer	A6-583	FR	https://gallica.bnf.fr/ark:/12148/bpt6k57318952	Mes souvenirs littéraires / par Charles Monselet	Monselet, Charles (1825-1888). Auteur du texte
descaves-lucien-1861-03-18	Descaves	Lucien	1861	novelist	A6-249	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3382280v	Souvenirs d'un ours / Lucien Descaves,...	Descaves, Lucien (1861-1949). Auteur du texte
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	https://gallica.bnf.fr/ark:/12148/bpt6k9612811q	Les mille et un romans. t. 2, Les mémoires du diable / par Frédéric Soulié	Soulié, Frédéric (1800-1847). Auteur du texte
about-edmond-1828-02-14	About	Edmond	1828	novelist	A6-2	FR	https://gallica.bnf.fr/ark:/12148/bpt6k62077112	Le fellah : souvenirs d'Égypte / Edmond About	About, Edmond (1828-1885). Auteur du texte
hermant-abel-1862-02-03	Hermant	Abel	1862	novelist	A6-417	FR	https://gallica.bnf.fr/ark:/12148/bpt6k3385767n	Souvenirs de la vie mondaine / Abel Hermant,...	Hermant, Abel (1862-1950). Auteur du texte
