decision	ogid	ark	title	creator	reason
accept	houssaye-arsene-1814-03-28	https://gallica.bnf.fr/ark:/12148/bpt6k6507482t	Les confessions : souvenirs d'un demi-siècle, 1830-1880. Tom	Houssaye, Arsène (1814-1896). Auteur du texte	creator+year+memoir-title
accept	houssaye-arsene-1814-03-28	https://gallica.bnf.fr/ark:/12148/bpt6k241259c	Les confessions : souvenirs d'un demi-siècle 1830-1880 / Ars	Houssaye, Arsène (1814-1896). Auteur du texte	creator+year+memoir-title
accept	houssaye-arsene-1814-03-28	https://gallica.bnf.fr/ark:/12148/bpt6k87468	Les confessions. Tome 1 / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte	creator+year+memoir-title
reject	quinet-benoit-1818-04-02	https://gallica.bnf.fr/ark:/12148/bpt6k9816878m	Oeuvres complètes d'Edgar Quinet ; 15. Histoire de mes idées	Quinet, Edgar (1803-1875). Auteur du texte	given-name mismatch
accept	quinet-edgar-1803-02-17	https://gallica.bnf.fr/ark:/12148/bpt6k9816878m	Oeuvres complètes d'Edgar Quinet ; 15. Histoire de mes idées	Quinet, Edgar (1803-1875). Auteur du texte	creator+year+memoir-title
accept	bloy-leon-1846-07-11	https://gallica.bnf.fr/ark:/12148/bpt6k255557	Autobiographie d'une enfant / Bloy	Bloy, Léon (1846-1917). Auteur du texte	creator+year+memoir-title
accept	souvestre-emile-1806-04-15	https://gallica.bnf.fr/ark:/12148/bpt6k56854863	Confessions d'un ouvrier / par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte	creator+year+memoir-title
accept	souvestre-emile-1806-04-15	https://gallica.bnf.fr/ark:/12148/bpt6k58467254	Confessions d'un ouvrier, publiées par Émile Souvestre	Souvestre, Émile (1806-1854). Auteur du texte	creator+year+memoir-title
accept	souvestre-emile-1806-04-15	https://gallica.bnf.fr/ark:/12148/bpt6k98181478	Confessions d'un ouvrier (Nouvelle édition) / publiées par É	Souvestre, Émile (1806-1854). Auteur du texte	creator+year+memoir-title
accept	souvestre-emile-1806-04-15	https://gallica.bnf.fr/ark:/12148/bpt6k2032453	Confessions d'un ouvrier (Nouv. éd.) / publ. par Emile Souve	Souvestre, Émile (1806-1854). Auteur du texte	creator+year+memoir-title
accept	gebhart-emile-1839-07-19	https://gallica.bnf.fr/ark:/12148/bpt6k1068836	Petits mémoires / Émile Gebhart,...	Gebhart, Émile (1839-1908). Auteur du texte	creator+year+memoir-title
accept	stapleaux-leopold-1831-10-16	https://gallica.bnf.fr/ark:/12148/bpt6k54257615	Mémoires secrets du Second empire	Stapleaux, Léopold (1831-1891). Auteur du texte	creator+year+memoir-title
accept	monselet-charles-1825-04-30	https://gallica.bnf.fr/ark:/12148/bpt6k370995	Petits mémoires littéraires / Charles Monselet	Monselet, Charles (1825-1888). Auteur du texte	creator+year+memoir-title
reject	martin-hans-1886-11-09	https://gallica.bnf.fr/ark:/12148/bpt6k6507581r	Un missionnaire des Hurons, autobiographie du père Chaumonot	Martin, Félix (1804-1886). Auteur du texte	given-name mismatch
reject	martin-henri-1810-02-20	https://gallica.bnf.fr/ark:/12148/bpt6k6507581r	Un missionnaire des Hurons, autobiographie du père Chaumonot	Martin, Félix (1804-1886). Auteur du texte	given-name mismatch
accept	soulie-frederic-1800-12-23	https://gallica.bnf.fr/ark:/12148/bpt6k5812738p	Les Mémoires du diable / Frédéric Soulié	Soulié, Frédéric (1800-1847). Auteur du texte	creator+year+memoir-title
reject	lacroix-francis-1895-11-29	https://gallica.bnf.fr/ark:/12148/bpt6k58125135	Mémoires de Gabrielle d'Estrées. Tome 1	Lacroix, Paul (1806-1884). Auteur du texte	given-name mismatch
reject	mignet-auguste-1796-05-08	https://gallica.bnf.fr/ark:/12148/bpt6k96928004	Mémoires historiques (3e éd.) / par M. Mignet,...	Mignet, François-Auguste Alexis (1796-1884). Auteur du texte	given-name mismatch
reject	bauer-gerard-1888-10-07	https://gallica.bnf.fr/ark:/12148/bpt6k4221141d	Mémoires d'un jeune homme / Henry Bauer	Bauër, Henry (1851-1915). Auteur du texte	given-name mismatch
accept	sue-eugene-1804-01-26	https://gallica.bnf.fr/ark:/12148/bpt6k66141h	Mémoires d'un mari. 1 / Eugène Sue	Sue, Eugène (1804-1857). Auteur du texte	creator+year+memoir-title
reject	feydeau-georges-1862-12-08	https://gallica.bnf.fr/ark:/12148/bpt6k206920h	Mémoires d'un coulissier / par Ernest Feydeau	Feydeau, Ernest (1821-1873). Auteur du texte	given-name mismatch
accept	soulie-frederic-1800-12-23	https://gallica.bnf.fr/ark:/12148/bpt6k2070145	Les mémoires du Diable / par Frédéric Soulié	Soulié, Frédéric (1800-1847). Auteur du texte	creator+year+memoir-title
accept	bazin-rene-1853-12-26	https://gallica.bnf.fr/ark:/12148/bd6t54353087r	Mémoires d'une vieille fille / René Bazin,...	Bazin, René (1853-1932). Auteur du texte	creator+year+memoir-title
accept	souvestre-emile-1806-04-15	https://gallica.bnf.fr/ark:/12148/bpt6k58139504	Le Droit chemin, confessions d'un ouvrier, publié par Émile 	Souvestre, Émile (1806-1854). Auteur du texte	creator+year+memoir-title
reject	bernard-charles-1804-02-25	https://gallica.bnf.fr/ark:/12148/bpt6k82677b	Mémoires d'un jeune homme rangé / Tristan Bernard	Bernard, Tristan (1866-1947). Auteur du texte	given-name mismatch
reject	bernard-jean-1888-07-30	https://gallica.bnf.fr/ark:/12148/bpt6k82677b	Mémoires d'un jeune homme rangé / Tristan Bernard	Bernard, Tristan (1866-1947). Auteur du texte	given-name mismatch
accept	bernard-tristan-1866-09-07	https://gallica.bnf.fr/ark:/12148/bpt6k82677b	Mémoires d'un jeune homme rangé / Tristan Bernard	Bernard, Tristan (1866-1947). Auteur du texte	creator+year+memoir-title
reject	belot-gustave-1859-08-07	https://gallica.bnf.fr/ark:/12148/bpt6k5619157n	Mémoires d'un caissier / par Adolphe Belot &amp; Jules Dauti	Belot, Adolphe (1829-1890). Auteur du texte	given-name mismatch
reject	benoit-peter-1834-08-17	https://gallica.bnf.fr/ark:/12148/bpt6k5400519s	Mémoires de médecine et chirurgie cliniques / par J. Benoît,	Benoît, Justin (1813-1893). Auteur du texte	given-name mismatch
reject	benoit-pierre-1886-07-16	https://gallica.bnf.fr/ark:/12148/bpt6k5400519s	Mémoires de médecine et chirurgie cliniques / par J. Benoît,	Benoît, Justin (1813-1893). Auteur du texte	given-name mismatch
reject	leroux-gaston-1868-05-06	https://gallica.bnf.fr/ark:/12148/bpt6k9610692v	Jeunes amours : mémoires d'un adolescent / Hugues Le Roux	Le Roux, Hugues (1860-1925). Auteur du texte	given-name mismatch
reject	jullian-camille-1859-03-15	https://gallica.bnf.fr/ark:/12148/bpt6k15225483	Mémoires de Joseph Fouché, duc d'Otrante.... Volume 1	Jullian, Louis (1769-1836?). Auteur du texte	given-name mismatch
accept	flammarion-camille-1842-02-26	https://gallica.bnf.fr/ark:/12148/bpt6k83470m	Mémoires biographiques et philosophiques d'un astronome / Ca	Flammarion, Camille (1842-1925). Auteur du texte / Autrice d	creator+year+memoir-title
reject	daudet-ernest-1837-05-31	https://gallica.bnf.fr/ark:/12148/bpt6k8630790q	Trois souvenirs / Alphonse Daudet	Daudet, Alphonse (1840-1897). Auteur du texte	given-name mismatch
reject	simon-jules-1814-12-27	https://gallica.bnf.fr/ark:/12148/bd6t543522147	Souvenirs intimes - Paul Meurice	Simon, Gustave (1848-1928). Auteur du texte	given-name mismatch
reject	veuillot-louis-1813-10-11	https://gallica.bnf.fr/ark:/12148/bpt6k9602278j	Le comte de Falloux et ses mémoires / par Eugène Veuillot	Veuillot, Eugène (1818-1905). Auteur du texte	given-name mismatch
accept	simon-jules-1814-12-27	https://gallica.bnf.fr/ark:/12148/bpt6k9681998m	Les derniers mémoires des autres / Jules Simon,... ; illustr	Simon, Jules (1814-1896). Auteur du texte	creator+year+memoir-title
reject	briquet-georges-1898-02-05	https://gallica.bnf.fr/ark:/12148/bpt6k1160029j	Nouveaux éclaircissements sur les Mémoires de Hollande / par	Briquet, Apollin (1801-1881). Auteur du texte	given-name mismatch
accept	marmier-xavier-1808-06-22	https://gallica.bnf.fr/ark:/12148/bpt6k913090	Les mémoires d'un orphelin (2e édition) / par X. Marmier	Marmier, Xavier (1808-1892). Auteur du texte	creator+year+memoir-title
accept	goncourt-edmond-1822-05-26	https://gallica.bnf.fr/ark:/12148/bpt6k2026664	Journal des Goncourt : mémoires de la vie littéraire.... 1e 	Goncourt, Edmond de (1822-1896). Auteur du texte	creator+year+memoir-title
reject	goncourt-edmond-1822-05-26	https://gallica.bnf.fr/ark:/12148/bpt6k2026664	Journal des Goncourt : mémoires de la vie littéraire.... 1e 	Goncourt, Jules de (1830-1870). Auteur du texte	given-name mismatch
reject	lenotre-georges-1855-10-07	https://gallica.bnf.fr/ark:/12148/bpt6k6581503w	Mémoires et souvenirs sur la Révolution et l'Empire / publié	Lenotre, G. (1855-1935). Auteur du texte	given-name mismatch
accept	sue-eugene-1804-01-26	https://gallica.bnf.fr/ark:/12148/bpt6k56229407	Mathilde : mémoires d'une jeune femme. Tome 1 / par Eugène S	Sue, Eugène (1804-1857). Auteur du texte	creator+year+memoir-title
accept	soulie-frederic-1800-12-23	https://gallica.bnf.fr/ark:/12148/bpt6k5739432n	Les mémoires du diable. Edition 4,Volume 2 / par Frédéric So	Soulié, Frédéric (1800-1847). Auteur du texte	creator+year+memoir-title
accept	ajalbert-jean-1863-06-10	https://gallica.bnf.fr/ark:/12148/bpt6k4221142t	Mémoires en vrac : au temps du symbolisme, 1880-1890 / Jean 	Ajalbert, Jean (1863-1947). Auteur du texte	creator+year+memoir-title
reject	quinet-benoit-1818-04-02	https://gallica.bnf.fr/ark:/12148/bpt6k83695h	Mémoires d'exil (Bruxelles-Oberland) (2e édition) / par Mme 	Quinet, Hermione (1821-1900). Auteur du texte	given-name mismatch
reject	quinet-edgar-1803-02-17	https://gallica.bnf.fr/ark:/12148/bpt6k83695h	Mémoires d'exil (Bruxelles-Oberland) (2e édition) / par Mme 	Quinet, Hermione (1821-1900). Auteur du texte	given-name mismatch
accept	guillaumin-emile-1873-11-10	https://gallica.bnf.fr/ark:/12148/bd6t5413614k	La Vie d'un simple , mémoires d'un métayer. 2e édition	Guillaumin, Émile (1873-1951). Auteur du texte	creator+year+memoir-title
reject	baumann-emile-1868-09-24	https://gallica.bnf.fr/ark:/12148/bpt6k5789277x	Souvenirs de magistrat / Antoine Baumann	Baumann, Antoine (1860-1925). Auteur du texte	given-name mismatch
accept	sarcey-francisque-1827-10-08	https://gallica.bnf.fr/ark:/12148/bpt6k6507585d	Souvenirs de jeunesse / Francisque Sarcey	Sarcey, Francisque (1827-1899). Auteur du texte	creator+year+memoir-title
accept	lorrain-jean-1855-08-09	https://gallica.bnf.fr/ark:/12148/bpt6k82500g	Sensations et souvenirs / Jean Lorrain	Lorrain, Jean (1855-1906). Auteur du texte	creator+year+memoir-title
reject	dumesnil-rene-1879-06-19	https://gallica.bnf.fr/ark:/12148/bpt6k58651897	Mémoires de Mlle Dumesnil , en réponse aux mémoires d'Hippol	Dumesnil, Marie-Françoise (1713-1803). Auteur du texte / Aut	given-name mismatch
reject	bernard-charles-1804-02-25	https://gallica.bnf.fr/ark:/12148/bpt6k5661132q	Mes cocottes, ou Mémoires d'un jeune député flottant / par P	Bernard, Pierre (1810-1876). Auteur du texte	given-name mismatch
reject	bernard-jean-1888-07-30	https://gallica.bnf.fr/ark:/12148/bpt6k5661132q	Mes cocottes, ou Mémoires d'un jeune député flottant / par P	Bernard, Pierre (1810-1876). Auteur du texte	given-name mismatch
reject	bernard-tristan-1866-09-07	https://gallica.bnf.fr/ark:/12148/bpt6k5661132q	Mes cocottes, ou Mémoires d'un jeune député flottant / par P	Bernard, Pierre (1810-1876). Auteur du texte	given-name mismatch
accept	sue-eugene-1804-01-26	https://gallica.bnf.fr/ark:/12148/bpt6k5810511q	Oeuvres choisies de M. Eugène Süe. Fernand Duplessis, Mémoir	Sue, Eugène (1804-1857). Auteur du texte	creator+year+memoir-title
reject	lacroix-francis-1895-11-29	https://gallica.bnf.fr/ark:/12148/bpt6k6507459k	Mémoires sur la famille impériale. Tome 1 / par Mlle Cochele	Lacroix, Frédéric (1811-1863). Auteur du texte	given-name mismatch
reject	belot-gustave-1859-08-07	https://gallica.bnf.fr/ark:/12148/bpt6k64708567	Le secret terrible : mémoires d'un caissier / Adolphe Belot 	Belot, Adolphe (1829-1890). Auteur du texte	given-name mismatch
reject	ducasse-andre-1894-07-23	https://gallica.bnf.fr/ark:/12148/bpt6k5400998s	Mémoires et observations de médecine et de chirurgie ; par M	Ducasse, Jean Marie Auguste (1786-1859). Auteur du texte	given-name mismatch
reject	lacroix-francis-1895-11-29	https://gallica.bnf.fr/ark:/12148/bpt6k122974x	Les orgies de la Régence : mémoires du cardinal Dubois / [pa	Lacroix, Paul (1806-1884). Auteur du texte	given-name mismatch
reject	durand-oswald-1888-02-09	https://gallica.bnf.fr/ark:/12148/bpt6k5679651j	Mémoires sur Napoléon et Marie-Louise 1810-1814 / par la gén	Durand, Sophie (1772-1850). Auteur du texte	given-name mismatch
reject	silvestre-charles-1889-02-02	https://gallica.bnf.fr/ark:/12148/bpt6k964382	Les mémoires d'un galopin ; suivis de Petite histoire nature	Silvestre, Armand (1837-1901). Auteur du texte	given-name mismatch
accept	boissier-gaston-1823-08-15	https://gallica.bnf.fr/ark:/12148/bpt6k1091462f	De l'autorité des mémoires du duc de Saint-Simon / par G. Bo	Boissier, Gaston (1823-1908). Auteur du texte	creator+year+memoir-title
reject	claretie-jules-1840-12-03	https://gallica.bnf.fr/ark:/12148/bpt6k3412687f	Linette : mémoires d'une enfant de Paris / Léo Claretie,... 	Claretie, Léo (1862-1924). Auteur du texte	given-name mismatch
reject	lemonnier-camille-1844-03-23	https://gallica.bnf.fr/ark:/12148/bpt6k6437994b	Mémoires concernant diverses questions d'astronomie et de ph	Le Monnier, Pierre-Charles (1715-1799). Auteur du texte	given-name mismatch
reject	moreau-abel-1893-01-08	https://gallica.bnf.fr/ark:/12148/bpt6k5804081m	Mémoires sur les fouilles d'Abou-Gosch (Palestine), par M. l	Moreau, Adolphe (1850-1929?). Auteur du texte	given-name mismatch
