ogid	fname	gname	year	occ	gqid	cy	ia_id	title	creator
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	deladministratio00chuoft	De l'administration de Louis 14 (1661-1672) d'après les mémoires inédits d'Olivier d'Ormesson	Chéruel, Pierre Adolphe, 1809-1891
gozlan-leon-1803-09-10	Gozlan	Léon	1803	novelist	A6-380	FR	balzacchezluisou00gozl	Balzac chez lui : souvenirs des Jardies	Gozlan, Léon, 1803-1866
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	lacannedemmichel00clar	La canne de M. Michelet; promenades et souvenirs	Claretie, Jules, 1840-1913
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	madamegilblassou02fvuoft	Madame Gil Blas : souvenirs et aventures d'une femme de notre temps, redigés d'près ses notes et manuscrits	Féval, Paul, 1817-1887
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	lesigedeparisi00sarcuoft	Le siège de Paris, impressions et souvenirs	Sarcey, Francisque, 1827-1899
sainte-beuve-charles-1804-12-23	Sainte-Beuve	Charles	1804	writer	A6-717	FR	mmoiresdemmedem03saingoog	Mémoires de mme. de Motteville sur Anne d'Autriche et sa cour	Sainte-Beuve, Charles Augustin, 1804-1869
lacordaire-jean-1802-05-12	Lacordaire	Jean	1802	writer	A6-449	FR	mmoiresdubaron00lees	Mémoires du baron Georges Cuvier	Lacordaire, Jean Théodore, 1801-1870
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	mmoirescomplet01sainuoft	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	mathildemmoir04suee	Mathilde : mémoires d'une jeune femme	Sue, Eugène, 1804-1857
boissier-gaston-1823-08-15	Boissier	Gaston	1823	writer	A6-113	FR	mlangesboissie00boisuoft	Mélanges Boissier; recueil de mémoires concernant la littérature et les antiquités domaines dédié a Gaston Boissier à l'	Boissier, Gaston, 1823-1908
harcourt-robert-1881-11-23	Harcourt	Robert	1881	writer	A6-407	FR	souvenirsdecapti00harc	Souvenirs de captivite et d'evasions	Harcourt, Robert d', 1881-1965
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	souvenirsdunbas00souvgoog	Souvenirs d'un Bas-Breton ..	Souvestre, Émile, 1806-1854
curel-francois-1854-06-10	Curel	François	1854	writer	A6-222	FR	thtrecomplet01cureuoft	Théâtre complet. Textes remaniés par l'auteur avec l'historique de chaque pìece suivis des souvenirs de l'auteur	Curel, François de, 1854-1928
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	mathildemmoir00suee	Mathilde : mémoires d'une jeune femme	Sue, Eugène, 1804-1857
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	ssmmoirescompl06sain	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	ssmmoirescompl09sain	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	MariEmbaume01	Le mari embaumé, souvenirs d'un page de M. de Vendôme	Paul Henri Corentin Féval
curel-francois-1854-06-10	Curel	François	1854	writer	A6-222	FR	thtrecomplet06cureuoft	Théâtre complet. Textes remaniés par l'auteur avec l'historique de chaque pìece suivis des souvenirs de l'auteur	Curel, François de, 1854-1928
curel-francois-1854-06-10	Curel	François	1854	writer	A6-222	FR	thtrecomple04cure	Théâtre complet : textes remaniés par l'ateur avec l'historique de chaque pièce suivis des souvenirs de l'auteur	Curel, François de, 1854-1928
gozlan-leon-1803-09-10	Gozlan	Léon	1803	novelist	A6-380	FR	balzacchezluiso00gozlgoog	Balzac chez lui; souvenirs des Jardies	Gozlan, Léon, 1803-1866
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	souvenirsdunbas01souvgoog	Souvenirs d'un Bas-Breton ..	Souvestre, Émile, 1806-1854
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	souvenirsdunbasb02souv	Souvenirs d'un bas-breton	Souvestre, Emile, 1806-1854
hermant-abel-1862-02-03	Hermant	Abel	1862	novelist	A6-417	FR	souvenirsduvtede00hermuoft	Souvenirs du Vte de Courpière	Hermant, Abel, 1862-1950
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	souvenirsdunbasb01souv	Souvenirs d'un bas-breton	Souvestre, Emile, 1806-1854
souvestre-emile-1806-04-15	Souvestre	Emile	1806	novelist	A6-753	FR	souvenirsdunviei00souv	Souvenirs d'un vieillard : la dernière étape	Souvestre, Emile, 1806-1854
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	mathildemmoire01suee	Mathilde : mémoires d'une jeune femme	Sue, Eugène, 1804-1857
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	lesconfessionsso03housuoft	Les confessions; souvenirs d'un demisiècle, 1830-1880	Houssaye, Arsène, 1815-1896
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	lesconfession01rous	Les confessions	Claretie, Jules, 1840-1913
sue-eugene-1804-01-26	Sue	Eugène	1804	novelist	A6-757	FR	mathildemmoir01suee	Mathilde : mémoires d'une jeune femme	Sue, Eugène, 1804-1857
monselet-charles-1825-04-30	Monselet	Charles	1825	writer	A6-583	FR	messouvenirslitt00mons	Mes souvenirs littéraires	Monselet, Charles, 1825-1888
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	ssmmoirescompl11sain	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	ssmmoirescompl10sain	Mémoires complets et authentiques du duc de Saint-Simon, sur le siècle de Louis XIV et la Régence	Chéruel, Pierre Adolphe, 1809-1891
sarcey-francisque-1827-10-08	Sarcey	Francisque	1827	writer	A6-725	FR	lesigedeparisim03sarcgoog	Le siège de Paris. Impressions et souvenirs	Sarcey, Francisque, 1827-1899
cheruel-pierre-1809-01-17	Cheruel	Pierre	1809	writer	A6-195	FR	mmoiressurlavi01chuoft	Mémoires sur la vie publique et privée de Fouquet, surintendant de finances, d'après ses lettres et des pièces inédite, 	Chéruel, Pierre Adolphe, 1809-1891
bazin-rene-1853-12-26	Bazin	René	1853	novelist	A6-67	FR	mmoiresdunevi00bazi	Mémoires d'une vielle fille	Bazin, René, 1853-1932
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	lesconfessionsso02housuoft	Les confessions; souvenirs d'un demisiècle, 1830-1880	Houssaye, Arsène, 1815-1896
goncourt-edmond-1822-05-26	Goncourt	Edmond	1822	novelist	A6-375	FR	journaldesgonco09gonc	Journal des Goncourt : mémoires de la vie littéraire	Goncourt, Edmond de, 1822-1896
marmier-xavier-1808-06-22	Marmier	Xavier	1808	writer	A6-544	FR	untauborddelaba00marmgoog	Un été au bord de la Baltique et de la Mer du Nord : souvenirs de voyage	Marmier, Xavier, 1809-1892
