decision	ogid	ia_id	title	creator	reason
accept	cheruel-pierre-1809-01-17	deladministratio00chuoft	De l'administration de Louis 14 (1661-1672) d'après les mémo	Chéruel, Pierre Adolphe, 1809-1891	creator+wikidata-year
reject	bernard-charles-1804-02-25	cihm_32643	Recueil de voyages au nord [microforme] : contenant divers m	Bernard, J.-Frédéric (Jean-Frédéric), m. 1752	given-name mismatch
reject	bernard-jean-1888-07-30	cihm_32643	Recueil de voyages au nord [microforme] : contenant divers m	Bernard, J.-Frédéric (Jean-Frédéric), m. 1752	given-name mismatch
reject	bernard-tristan-1866-09-07	cihm_32643	Recueil de voyages au nord [microforme] : contenant divers m	Bernard, J.-Frédéric (Jean-Frédéric), m. 1752	given-name mismatch
reject	leroux-gaston-1868-05-06	dli.ministry.15270	Journal asiatique ou recueil de memoires d’extraits et de no	Leroux, Ernest	given-name mismatch
accept	gozlan-leon-1803-09-10	balzacchezluisou00gozl	Balzac chez lui : souvenirs des Jardies	Gozlan, Léon, 1803-1866	creator+wikidata-year
reject	fabre-emile-1869-03-24	b29324695_0005	Bibliothèque du médecin-praticien ou résumé général de tous 	Fabre, François, 1797-1854. no 96006840	given-name mismatch
reject	fabre-ferdinand-1827-06-09	b29324695_0005	Bibliothèque du médecin-praticien ou résumé général de tous 	Fabre, François, 1797-1854. no 96006840	given-name mismatch
reject	fabre-emile-1869-03-24	b29324695_0007	Bibliothèque du médecin-praticien ou résumé général de tous 	Fabre, François, 1797-1854. no 96006840	given-name mismatch
reject	fabre-ferdinand-1827-06-09	b29324695_0007	Bibliothèque du médecin-praticien ou résumé général de tous 	Fabre, François, 1797-1854. no 96006840	given-name mismatch
reject	paris-gaston-1839-08-09	bulletinsetmmoi10parigoog	Bulletins et mémoires de la Société d'anthropologie de Paris	Société d'anthropologie de Paris	given-name mismatch
reject	paris-gaston-1839-08-09	bub_gb_KvBBAAAAYAAJ	Mémoires pour servir a l'histoire du droit public de la Fran	France. Cour des aides (Paris)	given-name mismatch
reject	bertrand-louis-1866-03-25	b33012258	Mémoires historiques et physiques sur les tremblemens de ter	Bertrand, E. (Elie), 1712-approximately 1790	given-name mismatch
