decision	ogid	pg_id	title	reason
reject	renard-jules-1864-02-22	4559	Poil de Carotte	fiction-as-memoir (Subjects)
reject	jaloux-edmond-1878-06-19	4933	L'Escalier d'Or	fiction-as-memoir (Subjects)
reject	alain-fournier-henri-1886-10-03	5781	Le Grand Meaulnes	fiction-as-memoir (Subjects)
reject	houssaye-arsene-1814-03-28	8541	Les mains pleines de roses, pleines d'or et pleines de sang	fiction-as-memoir (Subjects)
reject	gaboriau-emile-1832-11-09	8650	Monsieur Lecoq — Volume 1 L'enquête	fiction-as-memoir (Subjects)
reject	gaboriau-emile-1832-11-09	8719	Monsieur Lecoq — Volume2 L'honneur du nom	fiction-as-memoir (Subjects)
reject	aulard-francois-1849-07-19	8822	Les grands orateurs de la Révolution Mirabeau, Vergniaud, Da	given-name mismatch (fa vs francois)
reject	aulard-francois-1849-07-19	8864	Mémoires secrets de Fournier l'Américain	given-name mismatch (fa vs francois)
reject	houssaye-arsene-1814-03-28	9261	Les grandes dames	fiction-as-memoir (Subjects)
reject	labiche-eugene-1815-05-06	9453	Le Voyage de Monsieur Perrichon: Comédie en quatre actes	not-memoir-title
reject	mathiez-albert-1874-01-10	9818	Les grandes journées de la Constituante	not-memoir-title
reject	feval-paul-1816-09-29	10053	La vampire	fiction-as-memoir (Subjects)
reject	buysse-cyriel-1859-09-20	10346	C'Était ainsi...	fiction-as-memoir (Subjects)
reject	conscience-henry-1812-12-03	10384	Le Pays de l'or	given-name mismatch (hendrik vs henry)
reject	gaboriau-emile-1832-11-09	11301	Les gens de bureau	fiction-as-memoir (Subjects)
reject	gaboriau-emile-1832-11-09	11588	L'argent des autres: 1. Les hommes de paille	fiction-as-memoir (Subjects)
reject	houssaye-arsene-1814-03-28	11928	Les douze nouvelles nouvelles	fiction-as-memoir (Subjects)
reject	malot-hector-1830-05-20	12174	Baccara	fiction-as-memoir (Subjects)
reject	malot-hector-1830-05-20	12284	Anie	fiction-as-memoir (Subjects)
reject	janin-jules-1804-02-16	12566	Contes, Nouvelles et Recits	fiction-as-memoir (Subjects)
reject	faguet-emile-1847-12-17	12749	Études Littéraires; dix-huitième siècle	not-memoir-title
reject	malot-hector-1830-05-20	13027	Cara	fiction-as-memoir (Subjects)
reject	caro-elme-1826-03-04	13038	George Sand	given-name mismatch (e vs elme)
reject	malot-hector-1830-05-20	13336	Clotilde Martory	fiction-as-memoir (Subjects)
reject	malot-hector-1830-05-20	13385	Comte du Pape	fiction-as-memoir (Subjects)
reject	malot-hector-1830-05-20	13400	Conscience	fiction-as-memoir (Subjects)
reject	malot-hector-1830-05-20	13490	Corysandre	fiction-as-memoir (Subjects)
reject	hemon-louis-1880-10-12	13525	Maria Chapdelaine	fiction-as-memoir (Subjects)
reject	malot-hector-1830-05-20	13562	Ghislaine	fiction-as-memoir (Subjects)
reject	sainte-beuve-charles-1804-12-23	13594	Portraits littéraires, Tome I	not-memoir-title
reject	malot-hector-1830-05-20	13654	Ida et Carmelita	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	13704	L'homme à l'oreille cassée	fiction-as-memoir (Subjects)
reject	leroux-gaston-1868-05-06	13765	Le mystère de la chambre jaune	fiction-as-memoir (Subjects)
reject	leroux-gaston-1868-05-06	13772	Les etranges noces de Rouletabille	fiction-as-memoir (Subjects)
reject	malot-hector-1830-05-20	13793	En famille	fiction-as-memoir (Subjects)
reject	sainte-beuve-charles-1804-12-23	13965	Portraits littéraires, Tome II	not-memoir-title
reject	pergaud-louis-1882-01-22	14397	Le roman de Miraut - Chien de chasse	fiction-as-memoir (Subjects)
reject	feval-paul-1816-09-29	14398	La fée des grèves	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	14404	Les Rois	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	14541	Séance De L'académie Française Du 2 Mai 1901 Discours De Réc	not-memoir-title
reject	sainte-beuve-charles-1804-12-23	14692	Portraits littéraires, Tome III	not-memoir-title
reject	feval-paul-1816-09-29	14702	Le loup blanc	fiction-as-memoir (Subjects)
reject	valles-jules-1832-06-11	14704	L'enfant	fiction-as-memoir (Subjects)
reject	valles-jules-1832-06-11	14705	Le bachelier	fiction-as-memoir (Subjects)
accept	goncourt-edmond-1822-05-26	14799	Journal des Goncourt  (Premier Volume) Mémoires de la vie li	author+year+memoir-title
accept	goncourt-edmond-1822-05-26	14803	Journal des Goncourt  (Deuxième volume) Mémoires de la vie l	author+year+memoir-title
reject	malot-hector-1830-05-20	14820	Une femme d'argent	fiction-as-memoir (Subjects)
reject	gaboriau-emile-1832-11-09	15107	La corde au cou	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	15295	Le juif errant - Tome I	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	15296	Le juif errant - Tome II	fiction-as-memoir (Subjects)
reject	leroux-gaston-1868-05-06	15554	Le parfum de la dame en noir	fiction-as-memoir (Subjects)
reject	eekhoud-georges-1854-05-27	15558	La nouvelle Carthage	fiction-as-memoir (Subjects)
reject	gaboriau-emile-1832-11-09	15579	L'affaire Lerouge	fiction-as-memoir (Subjects)
reject	feval-paul-1816-09-29	15816	La fabrique de crimes	fiction-as-memoir (Subjects)
reject	eekhoud-georges-1854-05-27	15844	Escal-Vigor	fiction-as-memoir (Subjects)
reject	bourget-paul-1852-09-02	16815	Physiologie de l'amour moderne	not-memoir-title
reject	mirbeau-octave-1848-02-16	16820	Le Journal d'une Femme de Chambre	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	16851	L'alouette du casque; ou, Victoria, la mère des camps	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	16875	Paula Monti, Tome I ou L'Hôtel Lambert - histoire contempora	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	16876	Paula Monti, Tome II ou L'Hôtel Lambert - histoire contempor	fiction-as-memoir (Subjects)
reject	eekhoud-georges-1854-05-27	17010	La faneuse d'amour	fiction-as-memoir (Subjects)
accept	sainte-beuve-charles-1804-12-23	17044	Mémoires du duc de Saint-Simon Siècle de Louis XIV, la régen	author+year+memoir-title
reject	gaboriau-emile-1832-11-09	17105	Les cotillons célèbres	not-memoir-title
accept	goncourt-edmond-1822-05-26	17123	Journal des Goncourt (Troisième volume) Mémoires de la vie l	author+year+memoir-title
accept	goncourt-edmond-1822-05-26	17238	Journal des Goncourt (Deuxième série, premier volume) Mémoir	author+year+memoir-title
reject	conscience-henry-1812-12-03	17242	La tombe de fer	given-name mismatch (hendrik vs henry)
reject	conscience-henry-1812-12-03	17248	Histoire de deux enfants d'ouvrier	given-name mismatch (hendrik vs henry)
reject	goncourt-edmond-1822-05-26	17285	Germinie Lacerteux	fiction-as-memoir (Subjects)
reject	conscience-henry-1812-12-03	17298	Argent et Noblesse	given-name mismatch (hendrik vs henry)
reject	lemaitre-jules-1853-04-27	17319	Chateaubriand	not-memoir-title
reject	claretie-jules-1840-12-03	17419	Bouddha	fiction-as-memoir (Subjects)
accept	goncourt-edmond-1822-05-26	17420	Journal des Goncourt (Deuxième série, deuxième volume) Mémoi	author+year+memoir-title
accept	goncourt-edmond-1822-05-26	17505	Journal des Goncourt (Deuxième série, troisième volume) Mémo	author+year+memoir-title
reject	lemaitre-jules-1853-04-27	17577	La patrie française	not-memoir-title
accept	goncourt-edmond-1822-05-26	17746	Journal des Goncourt (Troisième série, premier volume) Mémoi	author+year+memoir-title
reject	cherbuliez-victor-1829-07-19	17758	Amours fragiles Le roi Apépi—Le bel Edwards—Les inconséquenc	fiction-as-memoir (Subjects)
reject	mignet-auguste-1796-05-08	17810	Vie de Franklin	given-name mismatch (m vs auguste)
reject	claretie-jules-1840-12-03	17830	Ruines et fantômes	not-memoir-title
accept	goncourt-edmond-1822-05-26	17947	Journal des Goncourt (Troisième série, deuxième volume) Mémo	author+year+memoir-title
reject	gaboriau-emile-1832-11-09	18027	Les cotillons célèbres. Deuxième Série	not-memoir-title
accept	goncourt-edmond-1822-05-26	18055	Journal des Goncourt (Troisième série, troisième volume) Mém	author+year+memoir-title
reject	claretie-jules-1840-12-03	18064	L'américaine	fiction-as-memoir (Subjects)
reject	eekhoud-georges-1854-05-27	18074	Le cycle patibulaire	fiction-as-memoir (Subjects)
reject	about-edmond-1828-02-14	18092	Germaine	fiction-as-memoir (Subjects)
reject	gaboriau-emile-1832-11-09	18302	L'argent des autres: 2. La pêche en eau trouble	fiction-as-memoir (Subjects)
reject	feval-paul-1816-09-29	18494	Le dernier vivant	fiction-as-memoir (Subjects)
reject	goncourt-edmond-1822-05-26	18724	Hokousaï L'art japonais au XVII Siècle	not-memoir-title
reject	boylesve-rene-1867-04-14	18899	Mademoiselle Clocque	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	18921	Les mystères de Paris, Tome I	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	18922	Les mystères de Paris, Tome II	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	18923	Les mystères de Paris, Tome III	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	18924	Les mystères de Paris, Tome IV	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	18925	Les mystères de Paris, Tome V	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	18962	Le dangereux jeune homme	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	18983	Sainte-Marie-des-Fleurs: Roman	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	18996	Jean-Jacques Rousseau	not-memoir-title
reject	boylesve-rene-1867-04-14	19021	Le bonheur à cinq sous	fiction-as-memoir (Subjects)
reject	leroux-gaston-1868-05-06	19035	Le fauteuil hanté	not-memoir-title
reject	boylesve-rene-1867-04-14	19184	La carrosse aux deux lézards verts	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	19186	Les contemporains, première série Études et portraits littér	not-memoir-title
reject	flammarion-camille-1842-02-26	19738	Aventures extraordinaires d'un savant russe; I. La lune	fiction-as-memoir (Subjects)
reject	feval-paul-1816-09-29	19919	Maman Léo Les Habits Noirs Tome V	fiction-as-memoir (Subjects)
reject	feval-paul-1816-09-29	19920	L'avaleur de sabres Les Habits Noirs Tome VI	fiction-as-memoir (Subjects)
reject	renard-jules-1864-02-22	20199	L'écornifleur	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	20414	Jean Racine	not-memoir-title
reject	bourget-paul-1852-09-02	20964	Pauvre petite!	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	21215	Les Contemporains, 2ème Série Etudes et Portraits Littéraire	not-memoir-title
reject	lemonnier-camille-1844-03-23	21912	Le possédé: étude passionnelle	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	21940	Le parfum des îles Borromées	fiction-as-memoir (Subjects)
reject	le-goffic-charles-1863-07-14	22572	Fêtes et coutumes populaires Les fêtes patronales—Le réveill	not-memoir-title
reject	about-edmond-1828-02-14	22813	La Mère de la Marquise	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	23508	Les Contemporains, 7ème Série Études et Portraits Littéraire	not-memoir-title
reject	bourget-paul-1852-09-02	23616	André Cornélis	fiction-as-memoir (Subjects)
reject	figuier-louis-1819-02-15	23618	Gutenberg, pièce historique en 5 actes, 8 tableaux	not-memoir-title
reject	le-bon-gustave-1841-05-07	24007	Psychologie des foules	not-memoir-title
reject	cinti-decio-1878-08-10	25210	Distruzione: Poema Futurista	not-memoir-title
reject	lemaitre-jules-1853-04-27	25378	Les Contemporains, 3ème Série Études et Portraits Littéraire	not-memoir-title
reject	faguet-emile-1847-12-17	25704	Zola	not-memoir-title
reject	cheruel-pierre-1809-01-17	26082	Mémoires sur la vie publique et privée de Fouquet, surintend	given-name mismatch (aldophe vs pierre)
reject	janin-jules-1804-02-16	26418	L'âne mort	fiction-as-memoir (Subjects)
reject	bourget-paul-1852-09-02	26489	La terre promise	fiction-as-memoir (Subjects)
reject	dujardin-edouard-1861-11-10	26648	Les lauriers sont coupés	fiction-as-memoir (Subjects)
reject	feuillet-octave-1821-08-11	26815	Le roman d'un jeune homme pauvre (Novel)	fiction-as-memoir (Subjects)
reject	feuillet-octave-1821-08-11	26816	Le roman d'un jeune homme pauvre (Play)	not-memoir-title
reject	feuillet-octave-1821-08-11	26817	Julia de Trécoeur	fiction-as-memoir (Subjects)
reject	feuillet-octave-1821-08-11	26821	La petite comtesse	fiction-as-memoir (Subjects)
reject	feuillet-octave-1821-08-11	26824	Histoire de Sibylle	fiction-as-memoir (Subjects)
reject	bourget-paul-1852-09-02	26891	L'eau profonde; Les pas dans les pas	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	27296	La Becquée	fiction-as-memoir (Subjects)
reject	lemaitre-jules-1853-04-27	27379	Les Contemporains, 5ème Série Études et Portraits Littéraire	not-memoir-title
reject	souvestre-emile-1806-04-15	27644	Au bord du lac L'Esclave, le Serf, le Chevrier de Lorraine, 	fiction-as-memoir (Subjects)
reject	daudet-ernest-1837-05-31	27774	Fils d'émigré	fiction-as-memoir (Subjects)
reject	feval-paul-1816-09-29	27806	Le dernier chevalier	fiction-as-memoir (Subjects)
reject	sue-eugene-1804-01-26	27843	Les mystères du peuple, tome I Histoire d'une famille de pro	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	28124	Le Médecin des Dames de Néans	fiction-as-memoir (Subjects)
