ogid,O,C,E,A,N,plasticity,stability
ajalbert-jean-1863-06-10,66,97,90,70,5,78,87
carcopino-jerome-1881-06-27,98,39,90,62,73,94,42
claretie-jules-1840-12-03,28,98,65,79,9,46,89
daudet-ernest-1837-05-31,26,98,78,90,1,52,95
dekobra-maurice-1885-05-26,18,87,30,93,29,24,83
descaves-lucien-1861-03-18,31,10,48,1,63,39,16
fabre-emile-1869-03-24,78,82,13,43,59,45,55
flammarion-camille-1842-02-26,26,93,84,2,46,55,49
gebhart-emile-1839-07-19,65,14,92,4,69,78,16
goncourt-edmond-1822-05-26,37,89,47,78,26,42,80
grancher-marcel-1897-08-12,50,5,21,60,83,35,27
guirec-jean-charton-1898-07-31,73,55,94,14,45,83,41
harcourt-robert-1881-11-23,12,6,33,64,95,22,25
houssaye-arsene-1814-03-28,94,95,62,98,16,78,92
janin-jules-1804-02-16,17,87,29,72,15,23,81
leautaud-paul-1872-01-18,16,17,30,69,56,23,43
loisy-alfred-1857-02-28,79,81,92,48,50,85,59
lorrain-jean-1855-08-09,58,21,78,2,55,68,22
marbo-camille-1883-04-11,51,33,71,11,42,61,34
marmier-xavier-1808-06-22,33,31,3,47,85,18,31
maurois-andre-1885-07-26,94,26,76,44,60,85,36
monselet-charles-1825-04-30,89,83,82,53,5,85,77
montegut-emile-1825-06-23,95,75,52,65,45,73,65
nisard-desire-1806-03-20,96,81,34,59,14,65,75
quinet-edgar-1803-02-17,49,95,28,99,2,38,97
riviere-jacques-1886-07-15,54,58,75,24,30,64,50
sarcey-francisque-1827-10-08,78,33,67,88,63,72,52
siegfried-andre-1875-04-21,70,78,91,95,2,80,90
simon-jules-1814-12-27,93,29,76,74,56,84,49
souvestre-emile-1806-04-15,71,1,41,32,97,56,12
veuillot-louis-1813-10-11,94,19,99,1,92,96,9
