ogid	source	ref	file	words
goncourt-edmond-1822-05-26	pg	17238	goncourt-edmond-1822-05-26__pg__17238.txt	91537
goncourt-edmond-1822-05-26	pg	17420	goncourt-edmond-1822-05-26__pg__17420.txt	80324
goncourt-edmond-1822-05-26	pg	17505	goncourt-edmond-1822-05-26__pg__17505.txt	72865
goncourt-edmond-1822-05-26	pg	17746	goncourt-edmond-1822-05-26__pg__17746.txt	76109
goncourt-edmond-1822-05-26	pg	17947	goncourt-edmond-1822-05-26__pg__17947.txt	68597
goncourt-edmond-1822-05-26	pg	18055	goncourt-edmond-1822-05-26__pg__18055.txt	98062
daudet-ernest-1837-05-31	pg	30915	daudet-ernest-1837-05-31__pg__30915.txt	42860
houssaye-arsene-1814-03-28	ws	Souvenirs de jeunesse (Houssaye)	houssaye-arsene-1814-03-28__ws__Souvenirs_de_jeunesse__Houssaye_.txt	47879
houssaye-arsene-1814-03-28	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6507482t	houssaye-arsene-1814-03-28__gallica__https___gallica.bnf.fr_ark__12148_bpt6k6507482t.txt	107841
quinet-edgar-1803-02-17	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9816878m	quinet-edgar-1803-02-17__gallica__https___gallica.bnf.fr_ark__12148_bpt6k9816878m.txt	78314
monselet-charles-1825-04-30	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k370995	monselet-charles-1825-04-30__gallica__https___gallica.bnf.fr_ark__12148_bpt6k370995.txt	91037
sarcey-francisque-1827-10-08	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k6507585d	sarcey-francisque-1827-10-08__gallica__https___gallica.bnf.fr_ark__12148_bpt6k6507585d.txt	81875
lorrain-jean-1855-08-09	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k82500g	lorrain-jean-1855-08-09__gallica__https___gallica.bnf.fr_ark__12148_bpt6k82500g.txt	68892
monselet-charles-1825-04-30	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k57318952	monselet-charles-1825-04-30__gallica__https___gallica.bnf.fr_ark__12148_bpt6k57318952.txt	45148
souvestre-emile-1806-04-15	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k5812230n	souvestre-emile-1806-04-15__gallica__https___gallica.bnf.fr_ark__12148_bpt6k5812230n.txt	133580
sarcey-francisque-1827-10-08	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k62092287	sarcey-francisque-1827-10-08__gallica__https___gallica.bnf.fr_ark__12148_bpt6k62092287.txt	99495
nisard-desire-1806-03-20	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k54061806	nisard-desire-1806-03-20__gallica__https___gallica.bnf.fr_ark__12148_bpt6k54061806.txt	110595
nisard-desire-1806-03-20	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9675503q	nisard-desire-1806-03-20__gallica__https___gallica.bnf.fr_ark__12148_bpt6k9675503q.txt	156122
simon-jules-1814-12-27	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k5439085p	simon-jules-1814-12-27__gallica__https___gallica.bnf.fr_ark__12148_bpt6k5439085p.txt	114277
veuillot-louis-1813-10-11	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k58202539	veuillot-louis-1813-10-11__gallica__https___gallica.bnf.fr_ark__12148_bpt6k58202539.txt	123925
claretie-jules-1840-12-03	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k37211g	claretie-jules-1840-12-03__gallica__https___gallica.bnf.fr_ark__12148_bpt6k37211g.txt	49916
veuillot-louis-1813-10-11	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k392051	veuillot-louis-1813-10-11__gallica__https___gallica.bnf.fr_ark__12148_bpt6k392051.txt	123925
souvestre-emile-1806-04-15	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k58428361	souvestre-emile-1806-04-15__gallica__https___gallica.bnf.fr_ark__12148_bpt6k58428361.txt	86475
marmier-xavier-1808-06-22	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k9814356p	marmier-xavier-1808-06-22__gallica__https___gallica.bnf.fr_ark__12148_bpt6k9814356p.txt	71226
marmier-xavier-1808-06-22	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k1054664	marmier-xavier-1808-06-22__gallica__https___gallica.bnf.fr_ark__12148_bpt6k1054664.txt	84261
montegut-emile-1825-06-23	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k1022057	montegut-emile-1825-06-23__gallica__https___gallica.bnf.fr_ark__12148_bpt6k1022057.txt	133667
marmier-xavier-1808-06-22	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k10955124	marmier-xavier-1808-06-22__gallica__https___gallica.bnf.fr_ark__12148_bpt6k10955124.txt	84261
harcourt-robert-1881-11-23	gallica	https://gallica.bnf.fr/ark:/12148/bpt6k3380747b	harcourt-robert-1881-11-23__gallica__https___gallica.bnf.fr_ark__12148_bpt6k3380747b.txt	107079
daudet-ernest-1837-05-31	ia	souvenirsdemonte01daud	daudet-ernest-1837-05-31__ia__souvenirsdemonte01daud.txt	68240
janin-jules-1804-02-16	ia	petitssouvenirsa00janiuoft	janin-jules-1804-02-16__ia__petitssouvenirsa00janiuoft.txt	71394
