date,tag,jup_sat,sat_nep,sat_plu,ura_plu
1789-01,grid,136.58,134.79,20.78,165.85
1789-02,grid,129.46,138.40,23.36,163.64
1789-03,grid,124.79,142.33,26.01,162.03
1789-04,grid,122.69,146.72,28.96,161.20
1789-05,grid,123.73,150.24,31.46,161.55
1789-06,grid,127.61,152.39,33.28,163.01
1789-07,grid,133.71,152.58,33.92,165.18
1789-08,grid,141.81,150.80,33.27,167.74
1789-09,grid,150.62,147.66,31.65,170.07
1789-10,grid,158.18,144.50,29.95,171.58
1789-11,grid,163.23,142.37,28.94,171.99
1789-12,grid,164.16,142.11,29.12,171.16
1790-01,grid,160.62,143.79,30.52,169.31
1790-02,grid,153.72,147.11,32.86,167.09
1790-03,grid,146.99,151.00,35.49,165.39
1790-04,grid,141.61,155.57,38.62,164.42
1790-05,grid,139.65,159.49,41.50,164.62
1790-06,grid,141.04,162.28,43.89,165.96
1790-07,grid,145.35,163.18,45.18,168.07
1790-08,grid,152.35,162.05,45.15,170.63
1790-09,grid,161.02,159.21,43.80,173.03
1790-10,grid,169.57,155.85,41.91,174.66
1790-11,grid,176.80,153.12,40.33,175.23
1790-12,grid,180.74,152.16,39.87,174.56
1791-01,grid,180.69,153.23,40.71,172.81
1791-02,grid,176.35,156.16,42.71,170.59
1791-03,grid,169.83,159.91,45.23,168.81
1791-04,grid,162.30,164.57,48.45,167.70
1791-05,grid,157.23,168.82,51.63,167.75
1791-06,grid,155.54,172.17,54.53,168.97
1791-07,grid,157.44,173.78,56.47,171.00
1791-08,grid,162.67,173.40,57.14,173.55
1791-09,grid,170.46,171.06,56.27,176.00
1791-10,grid,179.21,167.71,54.39,177.75
1791-11,grid,187.79,164.49,52.35,178.48
1791-12,grid,194.00,162.81,51.23,177.97
1792-01,grid,197.06,163.18,51.42,176.33
1792-02,grid,196.08,165.60,52.97,174.13
1792-03,grid,191.57,169.25,55.37,172.23
1792-04,grid,184.18,173.91,58.59,171.01
1792-05,grid,177.01,178.38,61.98,170.95
1792-06,grid,172.18,182.17,65.30,172.07
1792-07,grid,171.19,184.40,67.83,174.04
1792-08,grid,174.05,184.74,69.19,176.58
1792-09,grid,180.31,183.01,68.91,179.07
1792-10,grid,188.57,179.87,67.24,180.90
1792-11,grid,197.73,176.36,64.92,181.75
1792-12,grid,205.47,174.06,63.20,181.35
1793-01,grid,210.92,173.72,62.72,179.81
1793-02,grid,212.96,175.58,63.74,177.63
1793-03,grid,211.55,178.78,65.76,175.75
1793-04,grid,206.53,183.32,68.86,174.40
1793-05,grid,199.37,187.93,72.36,174.19
1793-06,grid,192.15,192.12,76.03,175.16
1793-07,grid,187.85,194.95,79.11,177.05
1793-08,grid,187.48,196.08,81.21,179.55
1793-09,grid,191.29,195.12,81.68,182.08
1793-10,grid,198.20,192.45,80.46,184.01
1793-11,grid,207.18,188.85,78.09,185.02
1793-12,grid,215.87,185.97,75.84,184.78
1794-01,grid,223.19,184.83,74.61,183.37
1794-02,grid,227.82,185.96,74.95,181.24
1794-03,grid,229.28,188.70,76.54,179.31
1794-04,grid,227.63,192.98,79.40,177.83
1794-05,grid,222.85,197.61,82.90,177.47
1794-06,grid,215.67,202.09,86.80,178.30
1794-07,grid,208.91,205.44,90.34,180.08
1794-08,grid,204.86,207.31,93.13,182.55
1794-09,grid,205.23,207.18,94.40,185.10
1794-10,grid,209.75,205.15,93.83,187.13
1794-11,grid,217.55,201.75,91.68,188.28
1794-12,grid,226.35,198.48,89.08,188.21
1795-01,grid,234.85,196.55,87.12,186.93
1795-02,grid,241.43,196.86,86.70,184.87
1795-03,grid,245.20,199.02,87.74,182.91
1795-04,grid,246.71,202.92,90.23,181.31
1795-05,grid,245.28,207.45,93.60,180.80
1795-06,grid,240.80,212.09,97.62,181.48
1795-07,grid,234.30,215.84,101.51,183.16
1795-08,grid,227.66,218.36,104.89,185.57
1795-09,grid,224.02,219.05,106.95,188.14
1795-10,grid,224.94,217.79,107.15,190.25
1795-11,grid,230.22,214.85,105.48,191.54
1795-12,grid,238.03,211.44,102.79,191.63
1796-01,grid,246.80,208.85,100.22,190.51
1796-02,grid,254.56,208.30,98.99,188.52
1796-03,grid,260.13,209.86,99.42,186.47
1796-04,grid,263.94,213.29,101.45,184.80
1796-05,grid,265.38,217.60,104.60,184.17
1796-06,grid,264.32,222.27,108.62,184.74
1796-07,grid,260.67,226.27,112.73,186.33
1796-08,grid,254.72,229.29,116.58,188.69
1796-09,grid,248.66,230.67,119.31,191.27
1796-10,grid,245.57,230.17,120.26,193.44
1796-11,grid,247.01,227.83,119.21,194.83
1796-12,grid,252.41,224.56,116.68,195.04
1797-01,grid,260.20,221.55,113.72,194.03
1797-02,grid,268.16,220.25,111.76,192.11
1797-03,grid,274.38,221.03,111.48,190.13
1797-04,grid,279.69,223.81,112.88,188.36
1797-05,grid,283.14,227.76,115.65,187.59
1797-06,grid,284.83,232.33,119.53,188.00
1797-07,grid,284.44,236.50,123.74,189.47
1797-08,grid,281.69,239.93,127.96,191.76
1797-09,grid,276.82,241.97,131.32,194.34
1797-10,grid,271.69,242.26,133.06,196.57
1797-11,grid,268.86,240.70,132.81,198.09
1797-12,grid,270.30,237.83,130.71,198.46
1798-01,grid,275.49,234.61,127.60,197.61
1798-02,grid,282.39,232.60,124.98,195.79
1798-03,grid,288.57,232.59,123.95,193.82
1798-04,grid,294.47,234.62,124.61,191.97
1798-05,grid,298.96,238.08,126.87,191.06
1798-06,grid,302.26,242.41,130.48,191.30
1798-07,grid,304.08,246.61,134.67,192.65
1798-08,grid,304.31,250.33,139.12,194.86
1798-09,grid,302.58,252.90,142.97,197.43
1798-10,grid,299.08,253.90,145.42,199.71
1798-11,grid,294.82,253.17,146.01,201.35
1798-12,grid,292.54,250.90,144.56,201.87
1799-01,grid,293.82,247.78,141.59,201.19
1799-02,grid,298.18,245.25,138.51,199.48
1799-03,grid,303.23,244.49,136.77,197.53
1799-04,grid,308.77,245.70,136.62,195.61
1799-05,grid,313.46,248.55,138.27,194.56
1799-06,grid,317.42,252.51,141.46,194.65
1799-07,grid,320.35,256.61,145.50,195.86
1799-08,grid,322.35,260.47,150.05,197.98
1799-09,grid,323.12,263.44,154.26,200.53
1799-10,grid,322.38,265.06,157.31,202.86
1799-11,grid,320.02,265.12,158.71,204.61
1799-12,grid,317.01,263.56,158.00,205.28
1800-01,grid,315.16,260.80,155.45,204.75
1800-02,grid,316.10,258.03,152.18,203.17
1800-03,grid,318.96,256.63,149.84,201.26
1800-04,grid,323.14,257.00,148.87,199.28
1800-05,grid,327.25,259.15,149.81,198.11
1800-06,grid,331.13,262.63,152.48,198.04
1800-07,grid,334.39,266.50,156.24,199.11
1800-08,grid,337.20,270.38,160.75,201.13
1800-09,grid,339.34,273.61,165.20,203.64
1800-10,grid,340.60,275.71,168.72,206.01
1800-11,grid,340.74,276.48,170.83,207.86
1800-12,grid,339.56,275.67,170.91,208.67
1801-01,grid,337.49,273.47,168.97,208.31
1801-02,grid,336.03,270.73,165.79,206.86
1801-03,grid,336.31,268.88,163.03,205.00
1801-04,grid,338.26,268.46,161.30,202.98
1801-05,grid,341.05,269.86,161.47,201.69
1801-06,grid,344.21,272.75,163.52,201.46
1801-07,grid,347.24,276.29,166.90,202.39
1801-08,grid,350.20,280.06,171.25,204.31
1801-09,grid,352.93,283.43,175.80,206.77
1801-10,grid,355.25,285.89,179.66,209.16
1801-11,grid,357.14,287.25,182.38,211.10
1801-12,grid,358.14,287.16,183.21,212.05
1802-01,grid,357.94,285.62,181.99,211.85
1802-02,grid,356.61,283.17,179.15,210.54
1802-03,grid,355.31,281.10,176.20,208.74
1802-04,grid,354.88,280.01,173.82,206.70
1802-05,grid,355.72,280.66,173.24,205.31
1802-06,grid,357.53,282.88,174.59,204.92
1802-07,grid,359.80,285.98,177.48,205.70
1802-08,grid,2.42,289.54,181.57,207.50
1802-09,grid,5.20,292.93,186.09,209.91
1802-10,grid,7.98,295.63,190.18,212.31
1802-11,grid,10.84,297.46,193.39,214.32
1802-12,grid,13.39,298.01,194.89,215.41
1803-01,grid,15.33,297.19,194.43,215.37
1803-02,grid,15.93,295.21,192.11,214.20
1803-03,grid,15.09,293.13,189.20,212.48
1803-04,grid,13.38,291.56,186.37,210.43
1803-05,grid,12.18,291.50,185.07,208.94
1803-06,grid,12.08,293.02,185.68,208.41
1803-07,grid,13.04,295.60,188.01,209.03
1803-08,grid,14.83,298.85,191.74,210.71
1803-09,grid,17.23,302.16,196.13,213.05
1803-10,grid,20.00,304.99,200.34,215.45
1803-11,grid,23.27,307.18,203.91,217.54
1803-12,grid,26.71,308.28,205.99,218.74
1804-01,grid,30.26,308.13,206.25,218.86
1804-02,grid,33.10,306.74,204.57,217.85
1804-03,grid,34.25,304.79,201.80,216.14
1804-04,grid,33.32,302.99,198.75,214.10
1804-05,grid,31.07,302.37,196.90,212.55
1804-06,grid,28.97,303.22,196.84,211.91
1804-07,grid,28.09,305.26,198.60,212.42
1804-08,grid,28.50,308.13,201.91,214.00
1804-09,grid,30.04,311.25,206.10,216.28
1804-10,grid,32.42,314.11,210.31,218.67
1804-11,grid,35.67,316.52,214.11,220.79
1804-12,grid,39.51,318.03,216.61,222.08
