date,tag,jup_sat,sat_nep,sat_plu,ura_plu
1823-04,war,25.51,123.50,39.44,280.11
1828-04,war,117.13,175.83,97.39,295.32
1846-04,war,78.39,0.72,303.54,346.27
1848-03,war,113.93,15.73,320.69,350.86
1853-10,war,199.61,79.62,28.66,9.02
1859-04,war,313.00,129.74,88.39,24.24
1864-02,war,38.74,193.39,157.01,40.34
1866-06,war,85.13,203.52,171.26,48.63
1870-07,war,171.96,241.46,214.33,63.34
1877-04,war,287.66,311.31,292.49,87.20
1894-07,war,244.25,124.18,127.67,150.04
1898-04,war,291.09,171.46,178.62,169.79
1904-02,war,43.29,219.98,234.60,190.21
1911-09,war,171.88,296.79,321.12,206.61
1912-10,war,189.57,307.40,333.33,209.50
1913-06,war,215.69,315.19,340.30,217.69
1914-07,war,234.76,328.03,354.58,219.18
1919-02,war,311.38,17.30,50.01,232.84
1931-09,war,206.23,130.55,174.82,266.53
1935-10,war,260.81,168.33,216.60,276.64
1937-07,war,287.26,198.34,246.99,285.05
1939-09,war,335.00,217.37,267.99,289.44
1939-11,war,333.06,210.96,263.08,286.97
1950-06,war,173.84,328.80,27.12,318.19
1956-10,war,290.22,30.63,90.58,336.74
1962-10,war,28.36,82.36,143.54,352.63
1965-08,war,99.65,118.14,180.20,358.52
1967-06,war,112.93,138.99,203.12,2.37
1971-12,war,197.16,177.95,239.55,15.69
1973-10,war,208.01,209.16,269.79,18.38
1979-02,war,319.62,261.52,322.62,31.91
1980-09,war,351.95,279.30,338.70,31.87
1982-04,war,18.36,291.46,352.87,38.50
1990-08,war,189.54,7.67,64.77,50.88
1999-05,war,342.43,94.69,149.50,67.23
2003-03,war,46.12,130.35,182.62,70.32
2008-08,war,123.94,196.62,250.82,83.10
1789-07,rev,133.71,152.58,33.92,165.18
1830-07,rev,143.77,206.47,127.77,299.08
1848-02,rev,117.98,13.27,317.65,349.95
1868-01,rev,94.73,230.49,198.49,55.84
1910-11,rev,179.18,280.16,304.07,204.56
1911-10,rev,179.06,294.95,319.74,206.48
1917-03,rev,281.94,351.45,21.43,229.29
1917-11,rev,293.83,7.33,39.20,224.67
1922-10,rev,15.54,54.19,90.78,238.96
1933-01,rev,227.46,145.84,193.41,267.28
1949-10,rev,128.71,329.60,26.86,317.10
1952-07,rev,217.02,350.20,48.90,324.47
1959-01,rev,325.35,54.32,117.29,341.29
1974-04,rev,248.65,200.42,264.79,20.85
1979-02,rev,319.62,261.52,322.62,31.91
1989-11,rev,179.82,0.13,55.12,47.68
1991-12,rev,220.14,18.50,72.56,51.17
2011-01,rev,161.62,229.94,281.28,81.51
1817-08,pan,267.96,71.82,338.11,256.45
1829-08,pan,115.87,201.48,121.04,294.92
1846-04,pan,78.39,0.72,303.54,346.27
1855-02,pan,244.63,84.04,36.72,10.74
1863-05,pan,19.82,173.65,137.51,37.75
1881-05,pan,3.02,350.57,337.23,101.87
1889-11,pan,124.49,89.72,86.98,138.09
1899-03,pan,316.20,181.40,189.65,174.27
1918-03,pan,296.91,3.61,34.74,231.96
1957-02,pan,287.18,40.66,103.93,334.77
1968-07,pan,129.82,151.24,214.41,5.19
1977-05,pan,298.05,235.66,299.23,27.37
1981-06,pan,357.88,279.63,341.48,35.42
2002-11,pan,49.52,139.61,191.46,68.43
2009-04,pan,155.90,199.78,252.48,81.18
2019-12,pan,343.36,303.49,357.65,101.09
