1868-01-03	power	Реставрация Мэйдзи
1871-01-18	power	Провозглашение Германской империи
1912-02-12	power	Отречение Пу И
1922-10-31	power	Муссолини — премьер
1949-10-01	power	Провозглашение КНР
1959-01-01	power	Победа Кубинской революции
1973-09-11	power	Переворот в Чили
1975-04-30	power	Падение Сайгона
1979-07-19	power	Сандинисты в Манагуа
1986-02-25	power	Революция EDSA
1994-05-10	power	Инаугурация Манделы
1997-07-01	power	Передача Гонконга
1999-12-31	power	Отставка Ельцина
2003-04-09	power	Падение Багдада
2021-08-15	power	Падение Кабула
