1830-07-27	revolt	Июльская революция
1857-05-10	revolt	Восстание сипаев (Мирут)
1871-03-18	revolt	Парижская коммуна
1905-01-22	revolt	Кровавое воскресенье
1916-04-24	revolt	Пасхальное восстание
1936-07-17	revolt	Мятеж в Испании
1944-08-01	revolt	Варшавское восстание
1953-06-17	revolt	Восстание в ГДР
1956-10-23	revolt	Венгерское восстание
1968-05-03	revolt	Париж-68 (Сорбонна)
1970-12-14	revolt	Гданьск-1970
1980-08-14	revolt	Гданьск: Солидарность
1989-06-04	revolt	Тяньаньмэнь
2004-11-22	revolt	Оранжевая революция
2013-11-21	revolt	Евромайдан
