1853-10-16	war	Крымская: объявление Османской империей
1870-07-19	war	Франко-прусская: объявление
1904-02-08	war	Русско-японская: атака Порт-Артура
1912-10-08	war	Первая Балканская: объявление Черногорией
1931-09-18	war	Мукденский инцидент
1937-07-07	war	Инцидент на мосту Марко Поло
1939-11-30	war	Зимняя война: вторжение в Финляндию
1948-05-15	war	Арабо-израильская 1948: вторжение коалиции
1956-10-29	war	Суэцкий кризис: вторжение на Синай
1965-08-05	war	Индо-пакистанская 1965
1967-06-05	war	Шестидневная война
1980-09-22	war	Ирано-иракская: вторжение Ирака
1982-04-02	war	Фолкленды: высадка Аргентины
1990-08-02	war	Вторжение Ирака в Кувейт
2008-08-08	war	Пятидневная война (Южная Осетия)
