1755-11-01	quake	Лиссабонское землетрясение
1789-07-14	revolt	Взятие Бастилии
1793-01-21	death	Казнь Людовика XVI
1804-12-02	power	Коронация Наполеона
1812-06-24	war	Вторжение Наполеона в Россию
1815-06-18	war	Ватерлоо
1848-02-22	revolt	Февральская революция в Париже
1861-04-12	war	Форт-Самтер: начало Гражданской войны США
1865-04-14	death	Убийство Линкольна
1883-08-27	quake	Взрыв Кракатау
1898-02-15	war	Взрыв «Мэна» (испано-американская)
1906-04-18	quake	Землетрясение Сан-Франциско
1912-04-15	disaster	Гибель «Титаника»
1914-06-28	death	Сараево: убийство Франца Фердинанда
1914-07-28	war	Начало Первой мировой
1917-03-15	power	Отречение Николая II
1917-11-07	revolt	Октябрьский переворот
1918-11-11	peace	Компьенское перемирие
1923-09-01	quake	Великое землетрясение Канто
1929-10-24	crash	«Чёрный четверг»
1933-01-30	power	Гитлер — канцлер
1936-07-17	war	Начало гражданской войны в Испании
1938-11-09	terror	«Хрустальная ночь»
1939-09-01	war	Вторжение в Польшу
1941-06-22	war	Вторжение в СССР
1941-12-07	war	Пёрл-Харбор
1944-06-06	war	Высадка в Нормандии
1945-05-09	peace	Капитуляция Германии (Москва)
1945-08-06	war	Хиросима
1945-09-02	peace	Капитуляция Японии
1947-08-15	power	Независимость Индии
1948-01-30	death	Убийство Ганди
1948-05-14	power	Провозглашение Израиля
1950-06-25	war	Начало Корейской войны
1953-03-05	death	Смерть Сталина
1957-10-04	tech	Спутник-1
1961-04-12	tech	Полёт Гагарина
1961-08-13	power	Берлинская стена: начало
1962-10-16	crisis	Начало Карибского кризиса
1963-11-22	death	Убийство Кеннеди
1964-08-04	war	Тонкинский инцидент
1968-04-04	death	Убийство Кинга
1969-07-20	tech	Высадка на Луну
1973-10-06	war	Война Судного дня
1973-10-17	crisis	Нефтяное эмбарго ОПЕК
1979-02-11	revolt	Исламская революция в Иране
1979-12-24	war	Ввод войск в Афганистан
1986-01-28	disaster	Гибель «Челленджера»
1986-04-26	disaster	Чернобыль
1989-06-04	terror	Тяньаньмэнь
1989-11-09	power	Падение Берлинской стены
1991-08-19	revolt	Августовский путч
1991-12-26	power	Роспуск СССР
1994-04-06	war	Начало геноцида в Руанде
1995-01-17	quake	Землетрясение Кобе
1997-07-02	crash	Азиатский кризис: девальвация бата
1998-08-17	crash	Дефолт России
1999-03-24	war	Начало бомбардировок Югославии
2001-09-11	terror	11 сентября
2003-03-20	war	Вторжение в Ирак
2004-12-26	quake	Суматра: землетрясение и цунами
2008-09-15	crash	Крах Lehman Brothers
2010-01-12	quake	Землетрясение на Гаити
2010-12-17	revolt	Самосожжение Буазизи: начало Арабской весны
2011-03-11	quake	Тохоку: землетрясение и Фукусима
2011-05-02	death	Ликвидация бен Ладена
2014-02-22	power	Смена власти в Киеве
2014-03-18	power	Аннексия Крыма
2015-11-13	terror	Атаки в Париже
2016-06-23	power	Референдум Brexit
2016-11-08	power	Избрание Трампа
2019-04-15	disaster	Пожар Нотр-Дама
2020-01-30	crisis	ВОЗ: ЧС международного значения (COVID)
2020-03-11	crisis	ВОЗ: объявление пандемии
2020-03-16	crash	Обвал рынков (COVID-паника)
2022-02-24	war	Полномасштабное вторжение в Украину
2023-02-06	quake	Землетрясения в Турции и Сирии
2023-10-07	terror	Атака 7 октября
